in s,C1 in V,C2 in V
-8.928900E-02,1.18521E+01,1.42773E+01
-8.928720E-02,1.19302E+01,1.42773E+01
-8.928540E-02,1.17935E+01,1.43945E+01
-8.928360E-02,1.18326E+01,1.41992E+01
-8.928180E-02,1.18130E+01,1.41992E+01
-8.928000E-02,1.19107E+01,1.42773E+01
-8.927820E-02,1.19498E+01,1.43555E+01
-8.927640E-02,1.18716E+01,1.43945E+01
-8.927460E-02,1.18130E+01,1.43164E+01
-8.927280E-02,1.18326E+01,1.43164E+01
-8.927100E-02,1.18521E+01,1.42773E+01
-8.926920E-02,1.19302E+01,1.43945E+01
-8.926740E-02,1.18326E+01,1.41992E+01
-8.926560E-02,1.18130E+01,1.43945E+01
-8.926380E-02,1.18716E+01,1.44727E+01
-8.926200E-02,1.19107E+01,1.42773E+01
-8.926020E-02,1.18716E+01,1.42383E+01
-8.925840E-02,1.18521E+01,1.43945E+01
-8.925660E-02,1.18326E+01,1.44336E+01
-8.925480E-02,1.18716E+01,1.44336E+01
-8.925300E-02,1.18716E+01,1.44336E+01
-8.925120E-02,1.18716E+01,1.41602E+01
-8.924940E-02,1.18521E+01,1.42773E+01
-8.924760E-02,1.18912E+01,1.42773E+01
-8.924580E-02,1.18521E+01,1.43555E+01
-8.924400E-02,1.18521E+01,1.43555E+01
-8.924220E-02,1.18716E+01,1.43164E+01
-8.924040E-02,1.18716E+01,1.43164E+01
-8.923860E-02,1.18912E+01,1.43555E+01
-8.923680E-02,1.19693E+01,1.43164E+01
-8.923500E-02,1.18521E+01,1.41992E+01
-8.923320E-02,1.18130E+01,1.43555E+01
-8.923140E-02,1.18130E+01,1.43945E+01
-8.922960E-02,1.19302E+01,1.43945E+01
-8.922780E-02,1.18912E+01,1.43164E+01
-8.922600E-02,1.19302E+01,1.43164E+01
-8.922420E-02,1.19693E+01,1.43555E+01
-8.922240E-02,1.18912E+01,1.43945E+01
-8.922060E-02,1.18912E+01,1.44727E+01
-8.921880E-02,1.19693E+01,1.44336E+01
-8.921700E-02,1.18716E+01,1.42773E+01
-8.921520E-02,1.18130E+01,1.43164E+01
-8.921340E-02,1.19693E+01,1.45117E+01
-8.921160E-02,1.19498E+01,1.43555E+01
-8.920980E-02,1.19888E+01,1.43945E+01
-8.920800E-02,1.19107E+01,1.43945E+01
-8.920620E-02,1.19107E+01,1.42773E+01
-8.920440E-02,1.18716E+01,1.43945E+01
-8.920260E-02,1.18521E+01,1.42773E+01
-8.920080E-02,1.18716E+01,1.43555E+01
-8.919900E-02,1.19107E+01,1.42773E+01
-8.919720E-02,1.19107E+01,1.42383E+01
-8.919540E-02,1.18326E+01,1.42773E+01
-8.919360E-02,1.18326E+01,1.43945E+01
-8.919180E-02,1.20474E+01,1.43555E+01
-8.919000E-02,1.19498E+01,1.43164E+01
-8.918820E-02,1.17935E+01,1.43945E+01
-8.918640E-02,1.19107E+01,1.43945E+01
-8.918460E-02,1.19302E+01,1.44336E+01
-8.918280E-02,1.18716E+01,1.43164E+01
-8.918100E-02,1.19107E+01,1.42383E+01
-8.917920E-02,1.19107E+01,1.44727E+01
-8.917740E-02,1.19498E+01,1.43555E+01
-8.917560E-02,1.18716E+01,1.42773E+01
-8.917380E-02,1.18716E+01,1.45117E+01
-8.917200E-02,1.18912E+01,1.44727E+01
-8.917020E-02,1.20084E+01,1.43555E+01
-8.916840E-02,1.19498E+01,1.43164E+01
-8.916660E-02,1.18326E+01,1.43164E+01
-8.916480E-02,1.19107E+01,1.43945E+01
-8.916300E-02,1.18912E+01,1.43164E+01
-8.916120E-02,1.19498E+01,1.43945E+01
-8.915940E-02,1.19498E+01,1.43164E+01
-8.915760E-02,1.19498E+01,1.43945E+01
-8.915580E-02,1.19302E+01,1.42773E+01
-8.915400E-02,1.19693E+01,1.43164E+01
-8.915220E-02,1.18521E+01,1.42773E+01
-8.915040E-02,1.18716E+01,1.44336E+01
-8.914860E-02,1.19498E+01,1.42773E+01
-8.914680E-02,1.18130E+01,1.42383E+01
-8.914500E-02,1.18912E+01,1.41211E+01
-8.914320E-02,1.19693E+01,1.43555E+01
-8.914140E-02,1.18912E+01,1.42773E+01
-8.913960E-02,1.19302E+01,1.42773E+01
-8.913780E-02,1.19498E+01,1.40430E+01
-8.913600E-02,1.19107E+01,1.40820E+01
-8.913420E-02,1.19107E+01,1.41992E+01
-8.913240E-02,1.18912E+01,1.40430E+01
-8.913060E-02,1.19693E+01,1.41211E+01
-8.912880E-02,1.20670E+01,1.40039E+01
-8.912700E-02,1.17935E+01,1.41211E+01
-8.912520E-02,1.18912E+01,1.41992E+01
-8.912340E-02,1.19888E+01,1.41211E+01
-8.912160E-02,1.19498E+01,1.41602E+01
-8.911980E-02,1.18912E+01,1.41992E+01
-8.911800E-02,1.19302E+01,1.41992E+01
-8.911620E-02,1.20084E+01,1.42383E+01
-8.911440E-02,1.19302E+01,1.43164E+01
-8.911260E-02,1.19302E+01,1.42773E+01
-8.911080E-02,1.18716E+01,1.42383E+01
-8.910900E-02,1.18912E+01,1.43555E+01
-8.910720E-02,1.19888E+01,1.43945E+01
-8.910540E-02,1.18521E+01,1.42773E+01
-8.910360E-02,1.19107E+01,1.44336E+01
-8.910180E-02,1.20670E+01,1.44336E+01
-8.910000E-02,1.19888E+01,1.43555E+01
-8.909820E-02,1.19107E+01,1.43164E+01
-8.909640E-02,1.19498E+01,1.43945E+01
-8.909460E-02,1.19888E+01,1.44727E+01
-8.909280E-02,1.19498E+01,1.43945E+01
-8.909100E-02,1.19693E+01,1.44336E+01
-8.908920E-02,1.19888E+01,1.43945E+01
-8.908740E-02,1.20084E+01,1.43945E+01
-8.908560E-02,1.19498E+01,1.44336E+01
-8.908380E-02,1.18912E+01,1.45117E+01
-8.908200E-02,1.19302E+01,1.45117E+01
